unit_name,mid_elo,high_elo,unit_cost
Akali,0.11284185833619408,0.07458588586167983,2.0
Ambessa,0.20568714955944617,0.2370979767854264,4.0
Amumu,0.11324951367433345,0.05072142511687893,1.0
Black Rose Sion,0.12563651447534044,0.1287179590520716,
Blitzcrank,0.09526976770797574,0.034640496533935194,3.0
Caitlyn,0.14014046229545715,0.13847634209253587,5.0
Camille,0.16400617919670443,0.124491173625665,2.0
Cassiopeia,0.10471020711751916,0.05522025632758343,3.0
Corki,0.1355203684632109,0.2346394889569563,4.0
Darius,0.13496967616432087,0.03875141060777043,1.0
Dr. Mundo,0.13024230461151162,0.12708064646138964,4.0
Draven,0.12268995308387687,0.03443394325326455,1.0
Ekko,0.19123326467559218,0.2702674109301951,4.0
Elise,0.3178495823320746,0.44690573109785586,4.0
Ezreal,0.14950938322462523,0.13808842495566662,3.0
Gangplank,0.19920757523744134,0.26515899564726747,3.0
Garen,0.1624756837166724,0.21234684829921005,4.0
Heimerdinger,0.10832904222451081,0.16174633241979688,4.0
Illaoi,0.22042710836480148,0.2522821618571659,4.0
Irelia,0.13623555326696418,0.17299089150411093,1.0
Jayce,0.09677880764389518,0.15690996292116718,5.0
Jayce's summons,0.0964569744822062,0.15671348541028535,
Jinx,0.12314767135827898,0.10126148637755925,5.0
Kog'Maw,0.12475683716672388,0.0479757778494277,3.0
LeBlanc,0.10966643780752947,0.1418970659358375,5.0
Leona,0.0957632452225655,0.11938779622763179,2.0
Loris,0.21929711637487126,0.19516262292439143,3.0
Lux,0.07641749628103903,0.058172456875705304,1.0
Maddie,0.12388431170614486,0.10162925197485088,1.0
Malzahar,0.0826968188579929,0.09955868128325004,5.0
Mel,0.06202082618148529,0.07408209737223924,6.0
Mordekaiser,0.12366260441698135,0.07128103337094954,5.0
Morgana,0.12410601899530839,0.12845095115266805,1.0
Nami,0.11985066941297631,0.15247662421408995,3.0
Nocturne,0.08446332532326353,0.05164335805255522,2.0
Nunu & Willump,0.1946518480375329,0.24436764468805416,3.0
Powder,0.14227171301064195,0.21175741576656457,1.0
Rell,0.23317885341572261,0.25858455586006773,2.0
Renata Glasc,0.10932314910172788,0.12205787522166693,2.0
Renni,0.10300806728458634,0.06908451555698855,3.0
Rumble,0.2068457489415265,0.2916179671126874,5.0
Scar,0.12399158942670786,0.10812308560374012,3.0
Sett,0.1091515047488271,0.07514005320006449,2.0
Sevika,0.12252546057901362,0.07965903595034661,5.0
Silco,0.07608135942327497,0.04686240528776398,4.0
Singed,0.08728830529808902,0.1182089311623408,1.0
Smeech,0.11649645268337339,0.09112526197001451,3.0
Steb,0.13509840942899645,0.10159398678059003,1.0
Swain,0.22455372468245793,0.1774040786716105,3.0
Tristana,0.10900846778807644,0.21658370949540545,2.0
Trundle,0.0793068428882023,0.13444099629211673,1.0
Twisted Fate,0.15992247396727313,0.13725213606319522,3.0
Twitch,0.09765848495251173,0.10145292600354668,4.0
Urgot,0.14604788877445932,0.1452019184265678,2.0
Vander,0.12286159743677766,0.06265113654683217,2.0
Vex,0.0685004005034901,0.08522086087377076,1.0
Vi,0.1940653964984552,0.22743027567306143,4.0
Viktor,0.08133081588282412,0.11159418829598582,6.0
Violet,0.06807128962123812,0.02567809930678704,1.0
Vladimir,0.2024116031582561,0.18739420441721746,2.0
Warwick,0.0701524774001602,0.09654602611639529,6.0
Zeri,0.09526976770797574,0.07197122360148316,2.0
Ziggs,0.03729688751573407,0.04196558117040142,2.0
Zoe,0.14121323950108708,0.12866254231823313,4.0
Zyra,0.09296687263989015,0.11795703691762051,1.0
